Information here is subject to the policy as set forth by Gale in the terms and conditions found here: https://support.gale.com/terms/

Search Terms, "Directory Title ("Encyclopedia of Associations: National Organizations of the U.S.") And Edition (57)  LIMITS: Database (Encyclopedia of Associations: National Organizations of the U.S...."

Document Number,Entity Name,Main Address - Street1,Main Address - Street2,Main Address - Street3,Main Address - Street4,Main Address - Street5,Composed City,City,State Code,Zip Code,Country,Telephone Area Code,Telephone Number,Toll Free Number,Fax Number,Organization Email Address,Organization Website URL,SIC Code,SIC Description,SIC Code - collectIndustries Served,SIC Description - Industries Served,Year Founded,Number of Employees,Budget,Number of Members,Library Maintained,Awards Bestowed,Award Type,Publications Issued,Publication Type,Publication Frequency,Advertising Accepted,Conventions/Meetings Held,Conventions/Meeting Type,Exhibits,Subject Descriptor,Section Number,Section Heading,Officer 1,Officer 2,Officer 3,Officer 4,Officer 5
"ITXNCQ754985842","American Association for Hyperbaric Awareness (AAHA)","304 Coit Rd., Ste. 900","","","","","Plano, TX 75075 USA","Plano","TX","75075","United States","972","(972)312-1806","","(972)312-9401","info@hyperaware.org","http://www.hyperaware.org","","","8011","Offices and Clinics of Medical Doctors","2004","","","","None Reported","None Reported","","","","","","None Reported","","","Hyperbaric Medicine","08","Health and Medical Organizations","Allene Creacy","","","",""
"FYRFYE402513517","American Association for Respiratory Care (AARC)","9425 N MacArthur Blvd., Ste. 100","","","","","Irving, TX 75063-4706 USA","Irving","TX","75063-4706","United States","972","(972)243-2272","","(972)484-2720","info@aarc.org","http://www.aarc.org; http://www.facebook.com/aarc.org; http://www.linkedin.com/company/3218156; http://twitter.com/aarc_tweets","","","8049; 8299","Offices of Health Practitioners Nec; Schools and Educational Services Nec","1947","38","8450977","","None Reported","None Reported","","","Periodical; Magazine; Journal","monthly","Yes","Yes","meeting; convention","Yes","Therapy","08","Health and Medical Organizations","Tom Kallstrom","","","",""
"MPXBMP190050360","American Association of Anthropological Genetics (AAAG)","c/o Ellen Quillen, Secretary/Treasurer","Texas Biomedical Research Institute","Dept. of Genetics","","","San Antonio, TX 78245 USA","San Antonio","TX","78245","United States","","","","","","http://www.anthgen.org; http://www.facebook.com/AAAGenetics","","","8733","Noncommercial Research Organizations","1994","","","","None Reported","None Reported","","","Journal","bimonthly","No","None Reported","","","Genetics; Anthropology; Biology; Professionals; Science","04","Engineering, Technological, and Natural and Social Sciences Organizations","Ellen Quillen, PhD","","","",""
"FNOJHQ495522145","American Association of Certified Wedding Planners (AACWP)","210 W College St., Ste. 400","","","","","Grapevine, TX 76051 USA","Grapevine","TX","76051","United States","","","844-202-2297","","","http://aacwp.org; http://twitter.com/aacwp","","","7389","Business Services Nec","","","","","None Reported","None Reported","","","","","","None Reported","","","Bridal Services; Planning; Marriage","01","Trade, Business, and Commercial Organizations","Trudy Baade","","","",""
"GNOJFV060517666","American Association of Community Psychiatrists (AACP)","c/o Francis M Roton , Administrative Director","PO Box 570218","","","","Dallas, TX 75357-0218 USA","Dallas","TX","75357-0218","United States","972","(972)613-0985; (972)613-3997","","(972)613-5532","francesrotonbell@gmail.com","http://www.communitypsychiatry.org; http://www.facebook.com/American-Association-of-Community-Psychiatrists-AACP-172485739476134/?ref=page_internal; http://twitter.com/aacp123","","","8031; 8299","Offices of Osteopathic Physicians; Schools and Educational Services Nec","1985","","121476","350","None Reported","None Reported","","","Periodical; Journal; Newsletter","bimonthly","No","Yes","meeting","","Psychiatry","08","Health and Medical Organizations","Wes Sowers, MD","","","",""
"WALUZR843579403","American Association of Community Theatre (AACT)","1300 Gendy St.","","","","","Fort Worth, TX 76107 USA","Fort Worth","TX","76107","United States","817","(817)732-3177","866-687-2228","(817)732-3178","info@aact.org","http://www.aact.org; http://www.facebook.com/AACT.org; http://www.linkedin.com/groups/3666930/profile; http://twitter.com/AACT5","","","7922","Theatrical Producers and Services","1986","6","645219","1800","None Reported","Yes","Award; Recognition","","Membership directory; Magazine","annual; bimonthly","Yes","Yes","meeting","Yes","Theatre","06","Cultural Organizations","Murray Chase","","","",""
"TQZJYA973456283","American Association of Drugless Practitioners (AADP)","2200 Market St., Ste. 803","","","","","Galveston, TX 77550-1530 USA","Galveston","TX","77550-1530","United States","409","(409)621-2600","888-764-2237","(775)703-5334","join@aadp.net","http://www.aadp.net","","","8099","Health and Allied Services Nec","1990","20","","2100","None Reported","None Reported","","","","","","None Reported","","","Alternative Medicine","08","Health and Medical Organizations","","","","",""
"NTKIGT423527344","American Association of Psychiatric Administrators (AAPA)","c/o Frances M. Bell, Executive Director","PO Box 570218","","","","Dallas, TX 75357-0218 USA","Dallas","TX","75357-0218","United States","972","(972)613-0985","","(972)613-5532","frda1@airmail.net","http://www.psychiatricadministrators.org","2731","Book Publishing","8049","Offices of Health Practitioners Nec","1961","1","","","None Reported","None Reported","","","Journal; Membership directory","biennial; quarterly; semiannual","No","None Reported","","","Hospital","08","Health and Medical Organizations","Frances M. Bell","","","",""
"IJDHXP758373377","American Board of Forensic Document Examiners (ABFDE)","7887 San Felipe St., Ste. 122","","","","","Houston, TX 77063 USA","Houston","TX","77063","United States","713","(713)784-9537","","(713)784-3985","corporateassets@yahoo.com","http://www.abfde.org","7389","Business Services Nec","8734","Testing Laboratories","1977","","","","None Reported","None Reported","","","","","","None Reported","","","Forensic Sciences","03","Legal, Governmental, Public Administration, and Military Organizations","Ted Burkes","","","",""
"NEUGTS095095218","American Clinical and Climatological Association (ACCA)","c/o Richard A. Lange, MD, 5001 El Paso Dr.","","","","","El Paso, TX 79905 USA","El Paso","TX","79905","United States","210; 915","(210)567-4812; (915)215-4303","","(210)567-4654","richard.lange@ttuhsc.edu","http://www.accasociety.org","","","8011; 8731","Offices and Clinics of Medical Doctors; Commercial Physical Research","1884","","251726","375","None Reported","None Reported","","","","","","None Reported","","","Clinical Studies","08","Health and Medical Organizations","Richard A. Lange, MD","","","",""
"PNPRWW935558395","American College of Construction Lawyers (ACCL)","PO Box 4646","","","","","Austin, TX 78765-4646 USA","Austin","TX","78765-4646","United States","512","(512)343-1808","","","contact@accl.org","http://www.accl.org","","","8111","Legal Services","1987","3","189526","115","None Reported","None Reported","","","","","","None Reported","","","Attorneys","03","Legal, Governmental, Public Administration, and Military Organizations","Charles M Sink","","","",""
"GAHBPN680007609","American College of Osteopathic Obstetricians and Gynecologists (ACOOG)","8851 Camp Bowie W, Ste. 275 ","","","","","Fort Worth, TX 76116 USA","Fort Worth","TX","76116","United States","817","(817)377-0421","800-875-6360","(817)377-0439","info@acoog.org","http://www.acoog.org; http://www.facebook.com/ACOOG; http://www.linkedin.com/company/10341899; http://twitter.com/ACOOG1934","","","8011; 8299","Offices and Clinics of Medical Doctors; Schools and Educational Services Nec","1934","10","1764960","","None Reported","None Reported","","","Newsletter; Membership directory","annual; quarterly","No","Yes","convention; conference","Yes","Obstetrics and Gynecology","08","Health and Medical Organizations","Thomas Dardarian","","","",""
"HOHFMO152177928","American Collegiate Retailing Association (ACRA)","c/o Robert Jones, Secretary","University of Texas at Tyler","Business Bldg. 122","3900 University Blvd. ","","Tyler, TX 75799 USA","Tyler","TX","75799","United States","","","","","","http://acraretail.org; http://www.facebook.com/acraretail; http://www.twitter.com/ACRAConf","","","8244; 8742","Business and Secretarial Schools; Management Consulting Services","1948","","10000","300","None Reported","None Reported","","","","","","None Reported","","","Marketing","05","Educational Organizations","Robert Jones","","","",""
"MAPOKK565707520","American Coon Hunters Association (ACHA)","PO Box 472029","","","","","Fort Worth, TX 76147 USA","Fort Worth","TX","76147","United States","484","(484)234-0582","855-946-2242","","achahunt@gmail.com","http://worldhunt.org","","","7997","Membership Sports and Recreation Clubs","1948","","24500","400","None Reported","Yes","Trophy","","","","","None Reported","","","Hunting; Sports","14","Athletic and Sports Organizations","Earl M Parker","","","",""
"MGEOLL154969361","American Council for Construction Education (ACCE)","1717 N Loop 1604 E, Ste. 320","","","","","San Antonio, TX 78232-1570 USA","San Antonio","TX","78232-1570","United States","210","(210)495-6161","","(210)495-6168","acce@acce-hq.org","http://www.acce-hq.org","","","1521; 1522; 1531; 1541; 1542; 1611; 1622; 1623; 1629; 1761; 1522; 1531; 1541; 1542; 1611; 1622; 1623; 1629; 1761; 1522; 1531; 1541; 1542; 1611; 1622; 1623; 1629; 1761; 1522; 1531; 1541; 1542; 1611; 1622; 1623; 1629; 1761; 1522; 1531; 1541; 1542; 1611; 1622; 1623; 1629; 1761; 1522; 1531; 1541; 1542; 1611; 1622; 1623; 1629; 1761; 1522; 1531; 1541; 1542; 1611; 1622; 1623; 1629; 1761; 1522; 1531; 1541; 1542; 1611; 1622; 1623; 1629; 1761; 1522; 1531; 1541; 1542; 1611; 1622; 1623; 1629; 1761","Single-Family Housing Construction; Residential Construction Nec; Operative Builders; Industrial Buildings and Warehouses; Nonresidential Construction Nec; Highway and Street Construction; Bridge, Tunnel and Elevated Highway; Water, Sewer and Utility Lines; Heavy Construction Nec; Roofing, Siding and Sheet Metal Work; Residential Construction Nec; Operative Builders; Industrial Buildings and Warehouses; Nonresidential Construction Nec; Highway and Street Construction; Bridge, Tunnel and Elevated Highway; Water, Sewer and Utility Lines; Heavy Construction Nec; Roofing, Siding and Sheet Metal Work; Residential Construction Nec; Operative Builders; Industrial Buildings and Warehouses; Nonresidential Construction Nec; Highway and Street Construction; Bridge, Tunnel and Elevated Highway; Water, Sewer and Utility Lines; Heavy Construction Nec; Roofing, Siding and Sheet Metal Work; Residential Construction Nec; Operative Builders; Industrial Buildings and Warehouses; Nonresidential Construction Nec; Highway and Street Construction; Bridge, Tunnel and Elevated Highway; Water, Sewer and Utility Lines; Heavy Construction Nec; Roofing, Siding and Sheet Metal Work; Residential Construction Nec; Operative Builders; Industrial Buildings and Warehouses; Nonresidential Construction Nec; Highway and Street Construction; Bridge, Tunnel and Elevated Highway; Water, Sewer and Utility Lines; Heavy Construction Nec; Roofing, Siding and Sheet Metal Work; Residential Construction Nec; Operative Builders; Industrial Buildings and Warehouses; Nonresidential Construction Nec; Highway and Street Construction; Bridge, Tunnel and Elevated Highway; Water, Sewer and Utility Lines; Heavy Construction Nec; Roofing, Siding and Sheet Metal Work; Residential Construction Nec; Operative Builders; Industrial Buildings and Warehouses; Nonresidential Construction Nec; Highway and Street Construction; Bridge, Tunnel and Elevated Highway; Water, Sewer and Utility Lines; Heavy Construction Nec; Roofing, Siding and Sheet Metal Work; Residential Construction Nec; Operative Builders; Industrial Buildings and Warehouses; Nonresidential Construction Nec; Highway and Street Construction; Bridge, Tunnel and Elevated Highway; Water, Sewer and Utility Lines; Heavy Construction Nec; Roofing, Siding and Sheet Metal Work; Residential Construction Nec; Operative Builders; Industrial Buildings and Warehouses; Nonresidential Construction Nec; Highway and Street Construction; Bridge, Tunnel and Elevated Highway; Water, Sewer and Utility Lines; Heavy Construction Nec; Roofing, Siding and Sheet Metal Work","1974","3","200000","150","None Reported","None Reported","","","","","","None Reported","","","Construction","05","Educational Organizations","Jim Carr","","","",""
"JDIADD075388061","American Council of Spotted Asses (ACOSA)","2933 Silvercrest Ln.","","","","","Grapevine, TX 76051 USA","Grapevine","TX","76051","United States","","","","","acosa@spottedass.com","http://www.spottedass.com","2741","Miscellaneous Publishing","0752","Animal Specialty Services","1969","2","","","None Reported","None Reported","","","Directory; Magazine","3/year; quarterly","Yes","None Reported","","","Animal Breeding","02","Environmental and Agricultural Organizations","June Brown","","","",""
"ZZRREJ212601076","American Donkey and Mule Society (ADMS)","PO Box 1210","","","","","Lewisville, TX 75067 USA","Lewisville","TX","75067","United States","972","(972)219-0781","","","lovelongears@hotmail.com","http://www.lovelongears.com","2731","Book Publishing","0752","Animal Specialty Services","1967","3","92360","","Yes","Yes","Award; Recognition","","","","","None Reported","","","Animal Breeding","02","Environmental and Agricultural Organizations","Leah Patton","","","",""
"TCZPUR502391395","American Drum Horse Association (ADHA)","6700 Kuykendall Rd.","","","","","Bellville, TX 77418 USA","Bellville","TX","77418","United States","832","(832)558-1630","","","IDHADrumhorse@yahoo.com","http://www.drumhorseassociation.com; http://www.facebook.com/International-Drum-Horse-Association-13990249775","","","","","","","","","None Reported","None Reported","","","","","","None Reported","","","Horses","02","Environmental and Agricultural Organizations","Rebecca McKeever","","","",""
"BAHIHC474124044","American Federation of Aviculture (AFA)","PO Box 91717","","","","","Austin, TX 78709 USA","Austin","TX","78709","United States","512","(512)585-9800","","(512)858-7029","afaoffice@earthlink.net","http://www.afabirds.org; http://www.facebook.com/pages/American-Federation-of-Aviculture/202528641356","","","","","1974","2","166434","","None Reported","Yes","Award; Recognition","","Journal; Magazine","3/year","Yes","Yes","convention","Yes","Bird","13","Hobby and Avocational Organizations","Jason J. Crean","","","",""
"FACWPG233669746","American Goat Society","PO Box 63748","","","","","Pipe Creek, TX 78063 USA","Pipe Creek","TX","78063","United States","830","(830)535-4247","","(830)535-4561","agsgoat@live.com","http://www.americangoatsociety.com","2741","Miscellaneous Publishing","","","1935","1","","","None Reported","Yes","Monetary; Recognition","","Directory","April; annual","No","None Reported","","","Animal Breeding","02","Environmental and Agricultural Organizations","Amy Kowalik","","","",""
"YTRLNJ394789314","American Heart Association-Council on Arteriosclerosis, Thrombosis and Vascular Biology","c/o American Heart Association","7272 Greenville Ave.","","","","Dallas, TX 75231 USA","Dallas","TX","75231","United States","","","800-242-8721","","","http://www.heart.org/HEARTORG","","","8011; 8299","Offices and Clinics of Medical Doctors; Schools and Educational Services Nec","1946","15","","4868","None Reported","Yes","Award; Monetary; Recognition","","","","","Yes","meeting","Yes","Cardiology","08","Health and Medical Organizations","Steven R. Lentz, MD","","","",""
"MTAKNJ444419016","American Leather Chemists Association (ALCA)","1314 50th St., Ste. 103","","","","","Lubbock, TX 79412-2940 USA","Lubbock","TX","79412-2940","United States","806","(806)744-1798","","(806)744-1785","alca@leatherchemists.org","http://www.leatherchemists.org","2721","Periodicals","3111","Leather Tanning and Finishing","1903","1","169057","","None Reported","Yes","Recognition","","Directory; Journal","annual; monthly","Yes","None Reported","","","Chemistry","04","Engineering, Technological, and Natural and Social Sciences Organizations","Sarah Drayna","","","",""
"IGBZTV418207930","American Mensa","1229 Corporate Dr. W","","","","","Arlington, TX 76006-6103 USA","Arlington","TX","76006-6103","United States","","","","","","http://www.us.mensa.org","","","","","1960","27","4619256","50000","None Reported","Yes","Award; Monetary; Recognition","","Newsletter; Magazine; Journal","10/year; 3/year; combined issues in April/May and November/December","Yes","Yes","convention","","Gifted","06","Cultural Organizations","Pamela L. Donahoo, CAE","","","",""
"DGOWKV816490341","American Ostrich Association (AOA)","PO Box 218","","","","","Scurry, TX 75158 USA","Scurry","TX","75158","United States","972","(972)968-8546","","","aoa@ostriches.org","http://www.ostriches.org","","","0291","General Farms--Primarily Animal","1988","","25000","100","None Reported","None Reported","","","","","","None Reported","","","Animal Breeding","02","Environmental and Agricultural Organizations","Joel Brust","","","",""
"XUTPNB557513804","American Paint Horse Association (APHA)","2800 Meacham Blvd.","","","","","Fort Worth, TX 76137 USA","Fort Worth","TX","76137","United States","817","(817)834-2742","","(817)834-3152","generalstore@apha.com","http://www.apha.com; http://www.facebook.com/americanpainthorse; http://twitter.com/APHAnews?lang=en","2721","Periodicals","0752","Animal Specialty Services","1962","61","9174979","","None Reported","Yes","Monetary; Recognition","","Journal; Directory; Newsletter","Latest edition 2006-2007; monthly; quarterly","No","Yes","meeting; conference","","Horses","02","Environmental and Agricultural Organizations","Jackie Mellon","","","",""
"ECAHZG719693147","American Payroll Association (APA)","660 N Main Ave., Ste. 100","","","","","San Antonio, TX 78205-1217 USA","San Antonio","TX","78205-1217","United States","210","(210)226-4600; (210)224-6406","","(210)226-4027","apa@americanpayroll.org","http://www.americanpayroll.org","","","8721","Accounting, Auditing and Bookkeeping","1982","60","13500000","","None Reported","Yes","Grant","","Directory; Newsletter; Manual","Tenth edition; annual; monthly","No","Yes","conference","","Employment; Accounting; Business; Finance; Professionals; Professions","01","Trade, Business, and Commercial Organizations","Daniel J. Maddux","","","",""
"WTFDFU291291839","American Porphyria Foundation (APF)","4900 Woodway, Ste. 780","","","","","Houston, TX 77056-1837 USA","Houston","TX","77056-1837","United States","713","(713)266-9617","866-273-3635","(713)840-9552","porphyrus@porphyriafoundation.com","http://www.porphyriafoundation.com; http://www.facebook.com/AmericanPorphyriaFoundation; http://twitter.com/Porphyria_Help","2741","Miscellaneous Publishing","","","1982","2","100000","","None Reported","None Reported","","","Newsletter","quarterly","Yes","None Reported","","","Metabolic Disorders","08","Health and Medical Organizations","Desiree H. Lyon","","","",""
"WUHIYU114227195","American Pregnancy Association (APA)","3007 Skyway Cir. N, Ste. 800","","","","","Irving, TX 75038 USA","Irving","TX","75038","United States","972","(972)550-0140","800-672-2296","","info@americanpregnancy.org","http://www.americanpregnancy.org; http://www.facebook.com/AmericanPregnancyAssc","","","","","1995","","432635","","None Reported","None Reported","","","Newsletter","weekly","No","None Reported","","","Obstetrics and Gynecology","08","Health and Medical Organizations","Jan Rydfors","","","",""
"SIOXAO874540203","American Recovery Association (ARA)","1400 Corporate Dr.","","","","","Irving, TX 75038 USA","Irving","TX","75038","United States","972","(972)755-4755","","","homeoffice@americanrecoveryassn.org","http://repo.org; http://www.facebook.com/American-Recovery-Association-579639202046647; http://www.linkedin.com/company/292333","2741","Miscellaneous Publishing","7389","Business Services Nec","1965","6","","","None Reported","None Reported","","","Directory; Newsletter","January; annual; monthly","No","Yes","convention","","Debt Collection","01","Trade, Business, and Commercial Organizations","Jerry Wilson","","","",""
"GWKXBT048393828","American Small Business Travelers Alliance (ASBTA)","3112 Bent Oak Cir.","","","","","Flower Mound, TX 75022 USA","Flower Mound","TX","75022","United States","972","(972)836-8064","","","info@asbta.com","http://www.asbta.com","","","","","","","","","None Reported","None Reported","","","","","","None Reported","","","Travel","01","Trade, Business, and Commercial Organizations","","","","",""
"AWZNNP269274211","American Society for Adolescent Psychiatry (ASAP)","PO Box 570218","","","","","Dallas, TX 75357-0218 USA","Dallas","TX","75357-0218","United States","972","(972)613-0985","866-672-9060","(972)613-5532","adpsych@aol.com","http://adolescent-psychiatry.org; http://www.facebook.com/adolpsych; http://www.linkedin.com/groups/2011444/profile","2741","Miscellaneous Publishing","8063","Psychiatric Hospitals","1967","","96859","","None Reported","Yes","Award; Recognition","","Newsletter","annual; quarterly","","None Reported","","","Psychiatry","08","Health and Medical Organizations","","","","",""
"VEMLNE173412098","American Society of Genealogists (ASG)","Joseph C. Anderson II","","","","","Dallas, TX 75229-3016 USA","Dallas","TX","75229-3016","United States","","","","","","http://www.fasg.org; http://www.facebook.com/American-Society-of-Genealogists-231090223615835","","","7299","Miscellaneous Personal Services Nec","1940","","","","None Reported","Yes","Scholarship; Recognition","","","","","None Reported","","","Genealogy","12","Veterans', Hereditary, and Patriotic Organizations","Henry Z. Jones, Jr.","","","",""
"GNNSWC137286292","American Society of Legal Advocates (ASLA)","15851 Dallas Pky., Ste. 600","","","","","Addison, TX 75001 USA","Addison","TX","75001","United States","","","877-977-ASLA","","","http://www.societyoflegaladvocates.org; http://www.facebook.com/societyoflegaladvocates; http://twitter.com/asla_org","","","8111","Legal Services","","","","","None Reported","None Reported","","","","","","None Reported","","","Attorneys; Legal Services","03","Legal, Governmental, Public Administration, and Military Organizations","","","","",""
"RJNKOL333065577","American Southdown Breeders' Association (ASBA)","100 Cornerstone Rd.","","","","","Fredonia, TX 76842 USA","Fredonia","TX","76842","United States","325","(325)429-6226","","(325)429-6225","southdown@ctesc.net","http://www.southdownsheep.org; http://www.facebook.com/AmericanSouthdownBreedersAssociation/; http://twitter.com/SouthdownSheep","","","0751","Livestock Services","1882","1","112408","758","None Reported","None Reported","","","Journal","annual","Yes","None Reported","","","Sheep","02","Environmental and Agricultural Organizations","L.C. Scramlin","","","",""
"IWDZIX904213376","American Stroke Association (ASA)","7272 Greenville Ave.","","","","","Dallas, TX 75231 USA","Dallas","TX","75231","United States","","","888-478-7653","","","http://www.strokeassociation.org; http://www.facebook.com/AmericanStroke; http://twitter.com/american_stroke","2731; 2741; 2721; 7372","Book Publishing; Miscellaneous Publishing; Periodicals; Prepackaged Software","","","1997","","","","None Reported","None Reported","","","Newsletter; Journal; Magazine","bimonthly; monthly; quarterly","Yes","None Reported","","","Stroke","08","Health and Medical Organizations","Alvin J. Royse, JD","","","",""
"XYHNQE137218728","American Sunrise","427 S Saint Marys St.","","","","","San Antonio, TX 78205-2721 USA","San Antonio","TX","78205-2721","United States","210","(210)212-2227","","","","http://www.americansunrise-sa.org","","","","","2001","","","","None Reported","None Reported","","","","","","None Reported","","","Housing; Community; Community Development; Community Service; Social Service; Social Welfare; Social Work","07","Social Welfare Organizations","","","","",""
"EDIPWE812791253","American Syringomyelia & Chiari Alliance Project (ASAP)","PO Box 1586","","","","","Longview, TX 75606-1586 USA","Longview","TX","75606-1586","United States","903","(903)236-7079","800-272-7282","(903)757-7456","info@asap.org","http://www.asap.org; http://www.facebook.com/cmsmasap/; http://twitter.com/ASAPorg","","","7389; 8731","Business Services Nec; Commercial Physical Research","1988","4","393727","4000","None Reported","Yes","Recognition","","","","","Yes","conference","","Neurological Disorders","08","Health and Medical Organizations","Patrice Schaublin","","","",""
"DCCCBR622568834","American Volkssport Association (AVA)","1001 Pat Booker Rd., Ste. 101","","","","","Universal City, TX 78148-4147 USA","Universal City","TX","78148-4147","United States","210","(210)659-2112","","(210)659-1212","avahq@ava.org","http://www2.ava.org; http://www.facebook.com/AmericanVolkssportAssociation","7941","Sports Clubs, Managers and Promoters","7997","Membership Sports and Recreation Clubs","1976","8","604334","","None Reported","Yes","Recognition","","Newsletter; Handbook; Manual; Newspaper; Brochure","bimonthly; monthly","No","Yes","convention","Yes","Sports","14","Athletic and Sports Organizations","David Bonewitz","","","",""
"TGHZQB159844781","Apostleship of the Sea in the United States of America","1500 Jefferson Dr.","","","","","Port Arthur, TX 77642-0646 USA","Port Arthur","TX","77642-0646","United States","409","(409)985-4545","","(409)985-5945","","http://www.aos-usa.org; http://www.facebook.com/Apostleship-of-the-Sea-of-the-United-States-of-America-192151664446/?ref=br_tf","","","8661","Religious Organizations","1947","2","","","None Reported","None Reported","","","Newsletter; Directory","3/year; Spring, Summer and Winter","No","None Reported","","","Catholic","11","Religious Organizations","Capt. George Mc Shea, Jr.","","","",""
