Information here is subject to the policy as set forth by Gale in the terms and conditions found here: https://support.gale.com/terms/

Search Terms, "Directory Title ("Publishers Directory") And Edition (41)  LIMITS: Database (Publishers Directory)"

Document Number,Entity Name,Main Address - Street1,Main Address - Street2,Main Address - Street3,Main Address - Street4,Main Address - Street5,Composed City,City,State Code,Zip Code,Country,Telephone Area Code,Telephone Number,Toll Free Number,Fax Number,Organization Email Address,Organization Website URL,Annual Sales,Officer 1,Officer 2,Officer 3,Officer 4,Officer 5
"NNUQFL899809729","AACE International","1265 Suncrest Towne Ctr Dr.","","","","","Morgantown, WV 26505-1876 USA","Morgantown","WV","26505-1876","United States","304","(304)296-8444","800-858-2678","(304)291-5728","info@aacei.org","http://www.aacei.org","9092000","Charity Golden","Teri Jefferson","Noah Kinderknecht","Dennis Stork","Charla Miller"
"XJUROS910973578","AAJA Publishing Co.","PO Box 2920","","","","","Chino Hills, CA 91709-2661 USA","Chino Hills","CA","91709-2661","United States","909","(909)393-8525","","","seniorexpo@roadrunner.com","http://www.increaseyourcensus.com","20000","","","","",""
"NUBKFA390194451","Aardvark Enterprises","204 Millbank Dr. SW","","","","","Calgary, AB, Canada T2Y 2H9","Calgary","AB","T2Y 2H9","Canada","1; 403","(403)256-4639","","","isbn@lac-bac.gc.ca","","5000","J. Alvin Speers","","","",""
"CBFRNI695895688","Aardvark-Vanaheim Inc.","PO Box 1674","","","","","Kitchener, ON, Canada N2G 4R2","Kitchener","ON","N2G 4R2","Canada","1; 519","(519)576-0610","","(519)576-0955","","","","David V. Sim","","","",""
"RMXIQS519987328","Abbeyfield Publishers","160 Balmoral Ave., Ste. 304","","","","","Toronto, ON, Canada M4V 1J7","Toronto","ON","M4V 1J7","Canada","416","(416)925-6458","866-370-9407","(416)925-4165","","","","Yvonne Blackwood","Bob Sansom","Bill Belfontaine","Alvin Abram",""
"QHVFFV331919008","ABC Namebank International Inc.","1 St. Johns Rd.","","","","","Brampton, ON, Canada L6T 0C5","Brampton","ON","L6T 0C5","Canada","905","(905)794-0055","","","info@abcnamebank.com","http://www.abcnamebank.com","","Naseem Javed","","","",""
"XNKYJU948735906","AbeBooks, Inc.","Ste. 500 - 655 Tyee Rd.","","","","","Victoria, BC, Canada V9A 6X5","Victoria","BC","V9A 6X5","Canada","250","(250)412-3200","","(250)475-6014","","http://www.abebooks.com","","Dr. Boris Wertz","","","",""
"THIWQA596515803","ABELexpress","601 Beechwood Ave.","","","","","Carnegie, PA 15106-2904 USA","Carnegie","PA","15106-2904","United States","412","(412)279-0672","","(412)429-2911","","","250000","","","","",""
"GASFMB298121601","ABE Publishing","2769 Malibu Way","","","","","Eugene, OR 97405-1866 USA","Eugene","OR","97405-1866","United States","1; 541","(541)485-4717","","(541)485-3893","","","","","","","",""
"JVAKDV604370726","Ability Workshop Press","1601 Old Bayshore Hwy., Ste. 260B","","","","","Burlingame, CA 94010-1514 USA","Burlingame","CA","94010-1514","United States","415","(415)692-8993","800-897-9001","(415)692-8997","alicedawp@aol.com","","200000","Eldon M. Braun","Alice E. Davis","","",""
"IKFLKA809465439","ABI Research","249 S St.","","","","","Oyster Bay, NY 11771 USA","Oyster Bay","NY","11771","United States","516","(516)624-2500","","(516)624-2501","","http://www.abiresearch.com","","Pete Rumpel","Paul Gilbert","Tim Archdeacon","Stuart Carlaw","Jake Saunders"
"MXQJYT350140781","ABLAZE Publishing","2800 122nd Pl. NE","","","","","Bellevue, WA 98005-1520 USA","Bellevue","WA","98005-1520","United States","425","(425)702-9741","877-624-0230","(509)275-5817","info@laugh-it-off.com","http://www.laugh-it-off.com","355000","Katie Namrevo","","","",""
"KQTKCD010577507","Ablex Publishing Corp.","655 Ave. of the Americas","","","","","New York, NY 10010 USA","New York","NY","10010","United States","212","(212)633-3750","888-437-4636","(212)633-3990","usinfo-f@elsevier.com","http://www.elsevier.com","2900000","Roger Dunn","Kimberly M. Burgos","","",""
"UDJHQD245723927","About Your 401k.com","4618 Huisache St.","","","","","Bellaire, TX 77401-5116 USA","Bellaire","TX","77401-5116","United States","713","(713)664-6717","","(713)664-6717","","","","Laval E. Robillard","","","",""
"EZIYYD926123204","ABRAMS","115 W 18th St., 6th Fl.","","","","","New York, NY 10011 USA","New York","NY","10011","United States","212","(212)206-7715","800-548-8785","(212)519-1210","abrams@abramsbooks.com","http://www.abramsbooks.com","390000","Gloria Elissha","Elisa Garcia","Harry N. Abrams","Eric Himmel Abrams","Raymond Hooper"
"ARXNLU761411454","Abrams Books for Young Readers","115 W 18th St., 6th Fl.","","","","","New York, NY 10011-4113 USA","New York","NY","10011-4113","United States","212","(212)206-7715","","(212)519-1210","abrams@abramsbooks.com","http://www.abramsbooks.com","","Howard W. Reeves","Harry N. Abrams","","",""
"GHOHCW545706731","ABS Consulting Training Services","16855 Northchase Dr.","","","","","Houston, TX 77060 USA","Houston","TX","77060","United States","281","(281)673-2800","800-769-1199","(281)673-2950","info@absconsulting.com","http://www.absconsulting.com","","Burton MacArthur","Darrell Barker","David Johnson","David Walker","David Weinstein"
"IEPAYV200712621","Abstract Studio Inc.","5311 Kirby Dr.","","","","","Houston, TX 77005 USA","Houston","TX","77005","United States","713","(713)666-0238","","(713)666-0238","sipnet@strangersinparadise.com","http://www.strangersinparadise.com","2900000","Terry Moore","Robyn Moore","","",""
"UOROVA885709835","Abundant Media","4259 Wilkinson Ave.","","","","","Studio City, CA 91604 USA","Studio City","CA","91604","United States","","","","","","http://www.abundantmedia.net","","Rene Ashton","","","",""
"MDEYWO799666506","Acada Books","1850 Union St., Ste. 1236","","","","","San Francisco, CA 94123-4309 USA","San Francisco","CA","94123-4309","United States","415","(415)826-2219","","","","","","Randy Fujishin","Brian Romer","Robin Romer","",""
"GDNMLW972303131","Academic Innovations","1386 Rio Virgin Rd.","","","","","Washington, UT 84780-8156 USA","Washington","UT","84780-8156","United States","435","(435)673-0843","800-967-8016","(800)967-4027","customer@academicinnovations.com","http://www.academicinnovations.com","","Wendy Bingham","Trena Hargis","Sky Schear","Roger Easson","Mindy Bingham"
"CBYFZJ562740745","Academic International Press","PO Box 1111","","","","","Gulf Breeze, FL 32562-1111 USA","Gulf Breeze","FL","32562-1111","United States","850","(850)932-5479","","(850)934-0953","info@ai-press.com","http://www.ai-press.com","","Peter von Wahlde","","","",""
"ZOHOLZ009690966","Academic Parks Co.","5700 Lincoln Ave.","","","","","Lanham, MD 20706 USA","Lanham","MD","20706","United States","301","(301)794-6031","","","","","3000","Gloria M. Prather","Alfred G. B. Prather","","",""
"BMHELS992132954","Academic Success Press Inc.","3547 53rd Ave. W","","","","","Bradenton, FL 34210 USA","Bradenton","FL","34210","United States","941","(941)951-8160","800-247-6553","(941)746-1645","info@academicsuccess.com","http://www.academicsuccess.com","80000","Dr. Paul D. Nolting","Kimberly Nolting","Dr. Elizabeth Chu","Dr. Elizabeth White",""
"VWBURG188400772","Academy of Criminal Justice Sciences","7339 Hanover Pkwy., Ste. A","","","","","Greenbelt, MD 20770 USA","Greenbelt","MD","20770","United States","301","(301)446-6300","800-757-2257","(301)446-2819","","http://www.acjs.org","","Brandon Applegate","Cathy L. Barth","","",""
"NTKVFI633580955","Academy of General Dentistry","560 W Lake St., 6th Fl.","","","","","Chicago, IL 60611-6600 USA","Chicago","IL","60611-6600","United States","888","(888)243-3368","888-243-DENT","(312)335-3443","membership@agd.org","http://www.agd.org","11297000","Jeffrey M. Cole","","","",""
"MAYSCL060092346","Accelerated Aviation Training","5980 Miller Rd., Ste. 130","Vancouver International Airport","","","","Richmond, BC, Canada V7B 1K2","Richmond","BC","V7B 1K2","Canada","604","(604)279-0179","","(604)279-0161","info@acceleratedaviation.com","http://www.acceleratedaviation.com","432000","Michael J. Culhane","","","",""
"BSGJLU469551326","Access Guide Publishing Inc.","14060 Egret Ln.","","","","","Clearwater, FL 33762-4511 USA","Clearwater","FL","33762-4511","United States","","","888-245-7300","(727)572-0185","","","100000","Katie Moffitt","","","",""
"ZBRQZH033271899","Access Intelligence L.L.C.","88 Pine St., Ste. 510","","","","","New York, NY 10005 USA","New York","NY","10005","United States","212","(212)621-4900","","(212)621-4800","clientservices@accessintel.com","http://www.accessintel.com","","Donald Pazour","Ed Pinedo","Macy Fecto","Ellen Greenfield",""
"ARYZDV927094304","AC Comics","PO Box 394","","","","","Plymouth, FL 32768 USA","Plymouth","FL","32768","United States","407","(407)767-0199","","","ac@accomics.com","http://www.accomics.com","","Mark G. Heike","","","",""
"NIEXFY830202061","Accountability and Information Systems","300 Don Gaspar Ave.","","","","","Santa Fe, NM 87501-2786 USA","Santa Fe","NM","87501-2786","United States","505","(505)827-5800","","(505)827-3986","","http://www.ped.state.nm.us","","Dr. Veronica Garcia","Robert Piro","Kathryn Cleary","Minerva Carrera",""
"MLDKCR824924083","Accountant's Press","199 N Montgomery St.","","","","","Starkville, MS 39759 USA","Starkville","MS","39759","United States","1; 662","(662)324-0985","","","","","100000","Sandra A. Causey","Denzil Y. Causey","Denzil Causey","",""
"YHFDBE419897747","Accounting and Financial Women's Alliance","2365 Harrodsburg Road, A325","","","","","Lexington, KY 40504 USA","Lexington","KY","40504","United States","859","(859)219-3532","800-326-2163","(859)219-3533","ericka.harney@afwa.org","http://www.afwa.org","4902000","Mrs. Monika P. Miles","Tina Ann Polf","Kathryn Sharp","Karyn Hartke","Gina Slack"
"MWNMVR616977809","Accrediting Council on Education in Journalism and Mass Communications","Stauffer-Flint Hall","1435 Jayhawk Blvd.","","","","Lawrence, KS 66045-7575 USA","Lawrence","KS","66045-7575","United States","785","(785)864-3973","","(785)864-5225","","http://www2.ku.edu/~acejmc","","Cindy Reinardy","Christopher Callahan","Susanne Shaw","",""
"JQBXXS307998679","Accuity Inc.","4709 Golf Rd.","","","","","Skokie, IL 60076 USA","Skokie","IL","60076","United States","847","(847)676-9600","800-321-3373","(847)933-8101","custserv@accuity.com","http://www.accuity.com","","Kerry Hewson","Robert McKay","Hugh M. Jones","",""
"LPGURM186027584","Accura Music Inc.","182 English Station Rd.","","","","","Rochester, NY 14616 USA","Rochester","NY","14616","United States","585","(585)227-1550","","(585)227-2829","","http://www.accuramusic.com","","Carl Fink","","","",""
"FUJSQH581896725","ACDI/VOCA","50 F St. NW, Ste. 1000","","","","","Washington, DC 20001 USA","Washington","DC","20001","United States","202","(202)469-6000","800-929-8622","(202)469-6257","webmaster@acdivoca.org","http://www.acdivoca.org","545175000","G. N. Saxena","Patricia Wilkinson Garamendi","Paul Guenette","Mortimer Neufville","Matt Renaud"
"OQMRUB658760831","Achievement Group","108-150 Palmdale Dr.","","","","","Toronto, ON, Canada M1T 3M7","Toronto","ON","M1T 3M7","Canada","416","(416)491-6690","","(416)490-0375","rp@randypark.com","http://www.peterursbender.com","860000","Randy Park","George Torok","","",""
"NVBXIT861857104","Achievement Press","936 Laclede St.","","","","","Sheridan, WY 82801-3416 USA","Sheridan","WY","82801-3416","United States","307","(307)672-8475","","","","","5000","Wendell J. Robison","Mary Scott","Marilyn Grams","A. L. Matthews",""
"VCMONY651504762","ACMP - The Chamber Music Network","1133 Broadway, Rm. 810","","","","","New York, NY 10010 USA","New York","NY","10010","United States","212","(212)645-7424","","(212)741-2678","contact@acmp.net","http://www.acmp.net","","Laura J. Goldberg","Kitty Benton","Ivy A. Turner","Daniel Nimetz",""
"AOXEQG453717705","ACMRS","c/o Arizona State Univ.","","","","","Tempe, AZ 85287-4402 USA","Tempe","AZ","85287-4402","United States","480","(480)727-6503","800-666-2211","(480)965-1681","mrts@asu.edu","http://www.acmrs.org/publications/mrts","2153000","","","","",""
"TDUPAM170912734","Acres U.S.A.","5321 Industrial Oaks Blvd., Ste. 128","","","","","Austin, TX 78735-8824 USA","Austin","TX","78735-8824","United States","512","(512)892-4400","800-355-5313","(512)892-4448","info@acresusa.com","http://www.acresusa.com","8995000","Paula Buchalla","Charles Walters","","",""
"ERFDWK890090766","Acrobat Books","4560 Admiralty Way","","","","","Marina del Rey, CA 90292-5423 USA","Marina del Rey","CA","90292-5423","United States","310","(310)578-1055","","","acrobooks@cs.com","","100000","Tony Cohan","Jonathan Kirsch","Gordon Beam","Eric Sherman",""
"FTVYEZ791316423","ACTA Press","Bldg. B6, Ste. 101, 2509 Dieppe Ave. SW","","","","","Calgary, AB, Canada T3E 7J9","Calgary","AB","T3E 7J9","Canada","403","(403)288-1195","","(403)247-6851","journals@actapress.com","http://www.actapress.com","","M. H. Hamza","A. Domijan","Mohamed Hamza","",""
"IVPKDG371107146","Action Books","356 O'Shaughnessy Hall","Dept. of English","University of Notre Dame","","","Notre Dame, IN 46556 USA","Notre Dame","IN","46556","United States","574","(574)631-7226","","(574)631-4795","","http://www.actionbooks.org","","Joyelle McSweeney","","","",""
"AUQVTD266064049","Active Parenting Canada","6105 60th St.","","","","","Olds, AB, Canada T4H 1P5","Olds","AB","T4H 1P5","Canada","403","(403)556-1786","800-668-5131","(403)358-7801","","","","","","","",""
"XIXWTF145483810","Activision Blizzard Inc.","3100 Ocean Park Blvd.","","","","","Santa Monica, CA 90405 USA","Santa Monica","CA","90405","United States","310","(310)255-2000","","(310)255-2100","info@activisionblizzard.com","http://www.activisionblizzard.com","","Frederic Crepin","Dennis Durkin","Ann Weiser","Ronald Doornink","Thomas Tippl"
"MUNAKT186247514","Activity Resources Company Inc.","20655 Hathaway Ave.","","","","","Hayward, CA 94541-3740 USA","Hayward","CA","94541-3740","United States","510","(510)782-1300","","(510)782-8172","","","650000","Peggy McLean","Mary Laycock","Lee Jenkins","James Laycock",""
"UKEPEB277815412","ACU Press","1626 Campus Ct.","","","","","Abilene, TX 79601-3701 USA","Abilene","TX","79601-3701","United States","325","(325)674-2720","877-816-4455","(325)674-6471","acupress@acu.edu","http://www.acu.edu/campusoffices/acupress","350000","Leonard Allen","Jean Cook","Thom Lemmons","Seth Shaver","Robyn Burwell"
"ZWOYAS950472898","Adams and Ambrose Publishing","1220 S Park St., Ste. 8000","","","","","Madison, WI 53715-2102 USA","Madison","WI","53715-2102","United States","608","(608)257-5700","","(608)257-5719","","","2698000","Roger B. Oakes","Joyce Harrington","","",""
"DIQWVS333538293","Adams Book Company Inc.","537 Sackett St.","","","","","Brooklyn, NY 11217 USA","Brooklyn","NY","11217","United States","","","800-221-0909","(888)229-2650","Sales@adamsbook.com","http://www.adamsbook.com","15324000","Glenn Schattner","Paul Davidson","Glen Schattner","",""
"JUTARR297703333","Adams Business Media/Green Media","833 W Jackson Blvd.","7th Fl.","","","","Chicago, IL 60607 USA","Chicago","IL","60607","United States","312","(312)846-4600","","(312)846-4638","","","","Mark Adams","","","",""
"OMQHZM601312162","Adams County Historical Society","PO Box 102","","","","","Hastings, NE 68902 USA","Hastings","NE","68902","United States","402","(402)463-5838","","","achs@inebraska.com","http://www.adamshistory.org","","Steve Buss","Monty McCord","Les Harms","James Guthmann","Elizabeth Spilinek"
"EIWRYK039675419","Adaptive Living","4981 SE Sterling Cir.","","","","","Stuart, FL 34997 USA","Stuart","FL","34997","United States","772","(772)781-6153","","(888)781-9151","vanetten@adaptiveliving.com","http://www.adaptiveliving.com","1000","Robert van Etten","Angela van Etten","","",""
"ERRBBK632332229","ADASI Publishing Co.","6 Dover Point Rd., Ste. B","","","","","Dover, NH 03820-4698 USA","Dover","NH","03820-4698","United States","603","(603)866-9426","","","info@adasi.com","http://www.adasi.com","","Albert di Canzio","","","",""
"WNLLCM312905455","Adastra Press","16 Reservation Rd.","","","","","Easthampton, MA 01027-1227 USA","Easthampton","MA","01027-1227","United States","413","(413)527-3324","","(413)549-2201","","","54000","Gary Metras","","","",""
"LIMASB856057050","AdCo Twenty12 Publishing","14814 N 15th Ave.","","","","","Phoenix, AZ 85023 USA","Phoenix","AZ","85023","United States","602","(602)866-0342","","(602)866-7421","kkallet@twenty12.com","http://www.twenty12.com","","Karen Kallet","","","",""
"VFLEXQ036776896","ADIRA Inc.","590 Madison Ave., 21st Fl.","","","","","New York, NY 10022 USA","New York","NY","10022","United States","","","","","adira@adira.net","http://Adira.Net","","","","","",""
"WMDOYU446760031","ADM Publishing","PO Box 917675","","","","","Longwood, FL 32791-7675 USA","Longwood","FL","32791-7675","United States","","","","","admpub@admpublishing.com","http://www.admpublishing.com","","Mary M. Wong","","","",""
"WBVKIB684141556","Adonis Press","321 Rodman Rd.","","","","","Hillsdale, NY 12529 USA","Hillsdale","NY","12529","United States","518","(518)325-1100","","(518)325-1103","adonis@fairpoint.net","http://www.adonispress.org","25000","John Barnes","","","",""
"VYFQZU194897959","ADSC: The International Association of Foundation Drilling","8445 Freeport Pkwy., Ste. 325","","","","","Irving, TX 75063 USA","Irving","TX","75063","United States","469","(469)359-6000","","(469)359-6007","adsc@adsc-iafd.com","http://www.adsc-iafd.com","","Tom Witherspoon","Michael D. Moore","Jan Hall","Al Rasband",""
"JGJDOS432357177","Advanced American Technology Inc.","1721 W Garvey Ave., Ste. A","","","","","Alhambra, CA 91803 USA","Alhambra","CA","91803","United States","626","(626)943-1690","888-777-8483","(626)943-1695","ken@humbird.com","http://www.humbird.com","50000","Luna Inouye","Sidney Sheres","Luna Chu","",""
"HFFBSR059849293","Advanced Medical Technology Association","701 Pennsylvania Ave. NW, Ste. 800","","","","","Washington, DC 20004-2654 USA","Washington","DC","20004-2654","United States","202","(202)783-8700","","(202)783-8750","info@advamed.org","http://www.advamed.org","","Donald May","Kenneth Mendez","David Nexon","Christopher L. White","Stephen J. Ubl"
"FLNHGA793446548","Advanstar Veterinary Healthcare Communications","8033 Flint St.","","","","","Lenexa, KS 66214 USA","Lenexa","KS","66214","United States","913","(913)871-3800","800-255-6864","(913)492-4157","","http://www.veterinarycalendar.dvm360.com","3374000","Becky Turner","","","",""
"GQIQBS306719540","Adventures Unlimited Press","One Adventure Pl.","","","","","Kempton, IL 60946-0074 USA","Kempton","IL","60946-0074","United States","815","(815)253-6390","800-718-4514","(815)253-6300","info@adventuresunlimitedpress.com","http://www.adventuresunlimitedpress.com","900000","","","","",""
"XYOSOO909650786","Advertising Research Foundation","432 Park Ave. S, 6th Fl.","","","","","New York, NY 10016-8013 USA","New York","NY","10016-8013","United States","212","(212)751-5656","","(212)319-5265","info@thearf.org","http://www.thearf.org","","Gayle Fuguitt","Paul J. Donato","Jane Clarke","Jill Peled","Colleen Fahey Rush"
"TLRXRG938415247","Advisor Media Inc.","12463 Rancho Bernardo Rd., Ste. 509","","","","","San Diego, CA 92128-3350 USA","San Diego","CA","92128-3350","United States","858","(858)278-5600","","(858)947-3993","","http://www.advisormedia.com/adv/AdvisorLegal","","John L. Hawkins","Jeanne Banfield Hawkins","","",""
"BIVSOD162793154","ADVOCIS","390 Queens Quay W, Ste. 209","","","","","Toronto, ON, Canada M5V 3A2","Toronto","ON","M5V 3A2","Canada","416","(416)444-5251","800-563-5822","(416)444-8031","info@advocis.ca","http://www.advocis.ca","","Greg Pollock","David Juvet","Caron Czorny","Wade Baldwin","Kathy Kaskiw"
"OFPMFA477595467","Aeon Group","114 James St.","","","","","Accord, NY 12404 USA","Accord","NY","12404","United States","845","(845)658-3068","","","aeongroup@msn.com","http://www.aeongroup.com","","","","","",""
"NERYGG932276939","Aeroemblem Publications Ltd.","7 March Dr.","","","","","Wichita Falls, TX 76306 USA","Wichita Falls","TX","76306","United States","940","(940)855-0988","","(940)855-0072","","http://www.aeroemblem.com","150000","Jerome Polder","","","",""
"DMUEUI857607889","Aero Products Research Inc.","11201 Hindry Ave.","","","","","Los Angeles, CA 90045 USA","Los Angeles","CA","90045","United States","310","(310)641-7242","","(310)649-1703","","http://www.aprindustries.com","1000000","Leonard Wilstein","John D. Cheyne","","",""
"UJPBQM324261981","AFER Publishing House","5954 Flipper Dr., Ste. 326","","","","","San Diego, CA 92114 USA","San Diego","CA","92114","United States","619","(619)263-1250","","","jcareyjs@aol.com","","2600000","Joseph C. Carey, Jr.","","","",""
"GCIASR232542484","Affluent Publishing Corp.","1040 Avenue of the Americas, 24th Fl.","","","","","New York, NY 10018 USA","New York","NY","10018","United States","","","","","","http://www.affluent-publishing.com","","","","","",""
"WHYOMU161962764","Africana Homestead Legacy Publishers Inc.","811 Church Rd., Ste. 105","","","","","Cherry Hill, NJ 08002 USA","Cherry Hill","NJ","08002","United States","","","","(856)382-0620","customer-service@ahlpub.com","http://www.ahlpub.com","","Lester S. Hyman","Henrietta Fuller Robinson","George Klay Kieh, Jr.","Gail A. Mitchell","Emmanuel T. Dolo"
"RNDXXS883032440","African American Images","1909 W 95th St.","","","","","Chicago, IL 60643 USA","Chicago","IL","60643","United States","708","(708)672-4909","800-552-1991","(708)672-0466","aai@africanamericanimages.com","http://www.africanamericanimages.com","","Dr. Jawanza Kunjufu","","","",""
"HARTCB898948889","African Studies Association","Livingston Campus","Rutgers University","54 Joyce Kilmer Ave.","","","Piscataway, NJ 08854 USA","Piscataway","NJ","08854","United States","848","(848)445-8173","","(732)445-1366","secretariat@africanstudies.org","http://www.africanstudies.org","","Suzanne Moyer Baazet","","","",""
"JSALZW998892875","African Studies Program","African Studies Dept.","221 Woodburn Hall","","","","Bloomington, IN 47405 USA","Bloomington","IN","47405","United States","812","(812)855-8284","","(812)855-6734","afrist@indiana.edu","http://www.iub.edu/~afrist","2000","Sue Hanson","Samuel Obeng","Paula Girshick","Osita Afoaku","Dr. Maria Grosz-Ngate"
"KRPBVL917013294","After Hours Press","2417 N 75th Ave.","","","","","Elmwood Park, IL 60707 USA","Elmwood Park","IL","60707","United States","","","","","editor@afterhourspress.com","http://www.afterhourspress.com","","Albert DeGenova","","","",""
"CUULQG692026295","Afton Historical Society Press","3321 St. Croix Trl. S","","","","","Afton, MN 55001 USA","Afton","MN","55001","United States","651","(651)436-8443","","(888)631-3421","aftonpress@aftonpress.com","http://www.aftonpress.com","10200000","Mabel Seeley","Walter F. Mondale","Patrick C. Labadie","Karal Ann Marling","Jon Hassler"
"UBKSBF146802087","Afton Publishing L.L.C","Hwy. 521","","","","","Newton, NJ 07860 USA","Newton","NJ","07860","United States","973","(973)579-2442","888-238-6665","(973)579-2842","info@aftonpublishing.com","http://www.aftonpublishing.com","","Trish Cunningham","Lisa Schneider","Jay Cunningham","Dan O'Connor, Jr.",""
"FWEOQH030751809","Agate Publishing","1328 Greenleaf St.","","","","","Evanston, IL 60202 USA","Evanston","IL","60202","United States","847","(847)475-4457","","","seibold@agatepublishing.com","http://www.agatepublishing.com","","Eileen Johnson","","","",""
"IAFDZJ610752665","AGC Information Inc.","2300 Wilson Blvd., Ste. 400","","","","","Arlington, VA 22201 USA","Arlington","VA","22201","United States","703","(703)548-3118","800-242-1767","(703)837-5405","info@agc.org","http://www.agc.org","","Stephen E. Sandherr","Donald A. Scott","Benjamin Herring","",""
"GHUFPH005586215","Agency for Instructional Technology","8111 Lee Paul Rd.","","","","","Bloomington, IN 47404-7916 USA","Bloomington","IN","47404-7916","United States","812","(812)339-2203","800-457-4509","(812)333-4218","","http://www.ait.net","278000","Dr. Marie Wilson","Mr. C. Wilson","Chuck Wilson","Barb Jackson","Sandra Sanders"
"JRBCGF456199659","Agilitek Corp.","6579 Hwy. 7","","","","","Markham, ON, Canada L3P 1X3","Markham","ON","L3P 1X3","Canada","905","(905)201-3085","888-446-8564","(905)201-3086","","http://www.agilitek.com","","John Estrella","","","",""
"HZLOWU565367113","Agora Inc.","14 W Mt. Vernon Pl.","","","","","Baltimore, MD 21201-5125 USA","Baltimore","MD","21201-5125","United States","410","(410)783-8499","","","csteam@agorapublishinggroup.com","http://www.agora-inc.com","90000000","Andrew Snyder","Joel Bowman","Alexander Green","Marc Lichtenfeld","Matthew Carr"
"QSTWFJ027209123","Agora Publications Inc.","17 Dean St.","","","","","Millis, MA 02054-1705 USA","Millis","MA","02054-1705","United States","508","(508)376-1073","","(508)376-1073","agorapub@verizon.net","http://www.agorapublications.com","2970000","Ray Munro","William Sigalis","Ray Childs","Michael Severens","Liesleotte Anderson"
"XDVHPW400582237","Agritech Publishing Group Inc.","12515 N Eliese Ave.","","","","","Marana, AZ 85653-9434 USA","Marana","AZ","85653-9434","United States","520","(520)616-9520","","","aggiebookman@msn.com","http://www.desertwindstrading.com/agritecbooks/agritecbooks01.htm","","","","","",""
