Information here is subject to the policy as set forth by Gale in the terms and conditions found here: https://support.gale.com/terms/

Search Terms, "Directory Title ("Encyclopedia of Associations: National Organizations of the U.S.") And Edition (57)  LIMITS: Database (Encyclopedia of Associations: National Organizations of the U.S...."

Document Number,Entity Name,Main Address - Street1,Main Address - Street2,Main Address - Street3,Main Address - Street4,Main Address - Street5,Composed City,City,State Code,Zip Code,Country,Telephone Area Code,Telephone Number,Toll Free Number,Fax Number,Organization Email Address,Organization Website URL
"MTAKNJ444419016","American Leather Chemists Association (ALCA)","1314 50th St., Ste. 103","","","","","Lubbock, TX 79412-2940 USA","Lubbock","TX","79412-2940","United States","806","(806)744-1798","","(806)744-1785","alca@leatherchemists.org","http://www.leatherchemists.org"
"IGBZTV418207930","American Mensa","1229 Corporate Dr. W","","","","","Arlington, TX 76006-6103 USA","Arlington","TX","76006-6103","United States","","","","","","http://www.us.mensa.org"
"DGOWKV816490341","American Ostrich Association (AOA)","PO Box 218","","","","","Scurry, TX 75158 USA","Scurry","TX","75158","United States","972","(972)968-8546","","","aoa@ostriches.org","http://www.ostriches.org"
"XUTPNB557513804","American Paint Horse Association (APHA)","2800 Meacham Blvd.","","","","","Fort Worth, TX 76137 USA","Fort Worth","TX","76137","United States","817","(817)834-2742","","(817)834-3152","generalstore@apha.com","http://www.apha.com; http://www.facebook.com/americanpainthorse; http://twitter.com/APHAnews?lang=en"
"ECAHZG719693147","American Payroll Association (APA)","660 N Main Ave., Ste. 100","","","","","San Antonio, TX 78205-1217 USA","San Antonio","TX","78205-1217","United States","210","(210)226-4600; (210)224-6406","","(210)226-4027","apa@americanpayroll.org","http://www.americanpayroll.org"
"WTFDFU291291839","American Porphyria Foundation (APF)","4900 Woodway, Ste. 780","","","","","Houston, TX 77056-1837 USA","Houston","TX","77056-1837","United States","713","(713)266-9617","866-273-3635","(713)840-9552","porphyrus@porphyriafoundation.com","http://www.porphyriafoundation.com; http://www.facebook.com/AmericanPorphyriaFoundation; http://twitter.com/Porphyria_Help"
"WUHIYU114227195","American Pregnancy Association (APA)","3007 Skyway Cir. N, Ste. 800","","","","","Irving, TX 75038 USA","Irving","TX","75038","United States","972","(972)550-0140","800-672-2296","","info@americanpregnancy.org","http://www.americanpregnancy.org; http://www.facebook.com/AmericanPregnancyAssc"
"SIOXAO874540203","American Recovery Association (ARA)","1400 Corporate Dr.","","","","","Irving, TX 75038 USA","Irving","TX","75038","United States","972","(972)755-4755","","","homeoffice@americanrecoveryassn.org","http://repo.org; http://www.facebook.com/American-Recovery-Association-579639202046647; http://www.linkedin.com/company/292333"
"GWKXBT048393828","American Small Business Travelers Alliance (ASBTA)","3112 Bent Oak Cir.","","","","","Flower Mound, TX 75022 USA","Flower Mound","TX","75022","United States","972","(972)836-8064","","","info@asbta.com","http://www.asbta.com"
"AWZNNP269274211","American Society for Adolescent Psychiatry (ASAP)","PO Box 570218","","","","","Dallas, TX 75357-0218 USA","Dallas","TX","75357-0218","United States","972","(972)613-0985","866-672-9060","(972)613-5532","adpsych@aol.com","http://adolescent-psychiatry.org; http://www.facebook.com/adolpsych; http://www.linkedin.com/groups/2011444/profile"
"VEMLNE173412098","American Society of Genealogists (ASG)","Joseph C. Anderson II","","","","","Dallas, TX 75229-3016 USA","Dallas","TX","75229-3016","United States","","","","","","http://www.fasg.org; http://www.facebook.com/American-Society-of-Genealogists-231090223615835"
"GNNSWC137286292","American Society of Legal Advocates (ASLA)","15851 Dallas Pky., Ste. 600","","","","","Addison, TX 75001 USA","Addison","TX","75001","United States","","","877-977-ASLA","","","http://www.societyoflegaladvocates.org; http://www.facebook.com/societyoflegaladvocates; http://twitter.com/asla_org"
"RJNKOL333065577","American Southdown Breeders' Association (ASBA)","100 Cornerstone Rd.","","","","","Fredonia, TX 76842 USA","Fredonia","TX","76842","United States","325","(325)429-6226","","(325)429-6225","southdown@ctesc.net","http://www.southdownsheep.org; http://www.facebook.com/AmericanSouthdownBreedersAssociation/; http://twitter.com/SouthdownSheep"
"IWDZIX904213376","American Stroke Association (ASA)","7272 Greenville Ave.","","","","","Dallas, TX 75231 USA","Dallas","TX","75231","United States","","","888-478-7653","","","http://www.strokeassociation.org; http://www.facebook.com/AmericanStroke; http://twitter.com/american_stroke"
"XYHNQE137218728","American Sunrise","427 S Saint Marys St.","","","","","San Antonio, TX 78205-2721 USA","San Antonio","TX","78205-2721","United States","210","(210)212-2227","","","","http://www.americansunrise-sa.org"
"EDIPWE812791253","American Syringomyelia & Chiari Alliance Project (ASAP)","PO Box 1586","","","","","Longview, TX 75606-1586 USA","Longview","TX","75606-1586","United States","903","(903)236-7079","800-272-7282","(903)757-7456","info@asap.org","http://www.asap.org; http://www.facebook.com/cmsmasap/; http://twitter.com/ASAPorg"
"DCCCBR622568834","American Volkssport Association (AVA)","1001 Pat Booker Rd., Ste. 101","","","","","Universal City, TX 78148-4147 USA","Universal City","TX","78148-4147","United States","210","(210)659-2112","","(210)659-1212","avahq@ava.org","http://www2.ava.org; http://www.facebook.com/AmericanVolkssportAssociation"
"TGHZQB159844781","Apostleship of the Sea in the United States of America","1500 Jefferson Dr.","","","","","Port Arthur, TX 77642-0646 USA","Port Arthur","TX","77642-0646","United States","409","(409)985-4545","","(409)985-5945","","http://www.aos-usa.org; http://www.facebook.com/Apostleship-of-the-Sea-of-the-United-States-of-America-192151664446/?ref=br_tf"
"EUUOYZ409381082","Art Alliance for Contemporary Glass (AACG)","11700 Preston Rd., Ste. 660, No. 327","","","","","Dallas, TX 75230 USA","Dallas","TX","75230","United States","214","(214)890-0029","","(214)890-0029","admin@contempglass.org","http://contempglass.org; http://www.facebook.com/ArtAllianceContemporaryGlass/; http://twitter.com/AACGlass"
"YJAUVX551940993","Artemis Medical Society","PO Box 470943","","","","","Fort Worth, TX 76147 USA","Fort Worth","TX","76147","United States","682","(682)231-0120","","","","http://www.artemismedicalsociety.org; http://www.facebook.com/ArtemisMedicalSociety; http://twitter.com/ArtemisMedSoc"
"OJCWCG631044565","Arte Sana","PO Box 1334","","","","","Dripping Springs, TX 78620 USA","Dripping Springs","TX","78620","United States","","","800-656-4673","","artesanando@yahoo.com","http://www.arte-sana.com; http://www.facebook.com/Arte-Sana-394771965120"
"NMIMXA960829571","Asaba National Association (ANA)","PO Box 1627","","","","","Sugar Land, TX 77487-1627 USA","Sugar Land","TX","77487-1627","United States","678","(678)860-9602","","","","http://www.asabausa.com; http://www.facebook.com/asabausa"
"TZDHUW662836203","Asian American Real Estate Association (AAREA)","PO Box 1762","","","","","Alief, TX 77411 USA","Alief","TX","77411","United States","281","(281)799-4939","","","","http://aareahouston.org; http://www.facebook.com/groups/111850887993; http://twitter.com/AareaHouston?lang=en"
"AQFMAY315358242","Asleep at the Wheel Fan Club","PO Box 463","","","","","Austin, TX 78767 USA","Austin","TX","78767","United States","512","(512)444-9885","","(512)444-4699","","http://www.asleepatthewheel.com"
"NZHZLM206482033","Association for Benchmarking Health Care (ABHC)","4606 FM 1960 Rd. W, Ste. 250","","","","","Houston, TX 77069-9949 USA","Houston","TX","77069-9949","United States","281","(281)440-5044","","(281)440-6677","","http://abhc.org"
"NQGDYG136481541","Association for Refugee Service Professionals (ARSP)","PO Box 80692","","","","","Austin, TX 78708 USA","Austin","TX","78708","United States","","","","","","http://www.refugeeprofessionals.org"
"TDJGYV282844529","Association for the Study of Free Institutions (ASFI)","c/o Stephen H. Balch, Chairman","Institute for the Study of Western Civilization","PO Box 41017","","","Lubbock, TX 79409-2019 USA","Lubbock","TX","79409-2019","United States","806","(806)834-8289","","","","http://www.freestudies.org"
"ZBEFZR915709359","Association of Attorney-Mediators (AAM)","PO Box 741955","","","","","Dallas, TX 75374-1955 USA","Dallas","TX","75374-1955","United States","972","(972)669-8101","800-280-1368","(972)669-8180","aam@attorney-mediators.org","http://www.attorney-mediators.org; http://www.facebook.com/AAMMediators"
"LSLFGY033979853","Association of Biblical Counselors (ABC)","209 N Industrial Blvd., Ste. 237","","","","","Bedford, TX 76021 USA","Bedford","TX","76021","United States","","","877-222-4551","","info@christiancounseling.com","http://christiancounseling.com; http://www.facebook.com/pages/Association-of-Biblical-Counselors/57829596558; http://www.facebook.com/abcounselors; http://www.twitter.com/abcounselors"
"BJSKWU697673416","Association of Educators in Imaging and Radiologic Sciences (AEIRS)","526 Kingwood Dr., No. 412","","","","","Kingwood, TX 77339-4473 USA","Kingwood","TX","77339-4473","United States","936","(936)647-1443","","","office@aeirs.org","http://www.aeirs.org; http://www.facebook.com/Association-of-Educators-in-Imaging-and-Radiologic-Sciences-AEIRS-258801357370; http://www.linkedin.com/groups/7446447"
"LTYAGB374263801","Association of Extremity Nerve Surgeons (AENS)","15577 Ranch Rd. 12, Ste. 103","","","","","Wimberley, TX 78676 USA","Wimberley","TX","78676","United States","","","888-708-9575","(888)394-1123","info@aens.us","http://www.aens.us"
"KXYKRY933890068","Association of Forensic DNA Analysts and Administrators (AFDAA)","2525 N International Blvd.","","","","","Weslaco, TX 78599 USA","Weslaco","TX","78599","United States","","","","","","http://afdaa.org"
"YCVEQY074714343","Association of International Petroleum Negotiators (AIPN)","11767 Katy Freeway, Ste. 412","","","","","Houston, TX 77079 USA","Houston","TX","77079","United States","281","(281)558-7715","","(281)558-7073","membership@aipn.org","http://www.aipn.org"
"XRVOFQ570204830","Association of Neurology Physician Assistants (ANPA)","c/o Teresa Frohman, President","University of Texas at Austin","","","","Austin, TX USA","Austin","TX","","United States","","","","","teresa.frohman@austin.utexas.edu","http://www.neurologypa.org"
"QRGDYI866817081","Association of Women Psychiatrists (AWP)","PO Box 570218","","","","","Dallas, TX 75357-0218 USA","Dallas","TX","75357-0218","United States","972","(972)613-0985","","(972)613-5532","womenpsych@aol.com","http://associationofwomenpsychiatrists.com"
"QYBTOR889902538","The Atlas Society (TAS)","800 Rockmead Dr., Ste. 200","","","","","Kingwood, TX 77339-9958 USA","Kingwood","TX","77339-9958","United States","202","(202)296-7263","","(202)296-0771","tas@atlassociety.org","http://www.atlassociety.org; http://www.facebook.com/AtlasSociety/; http://twitter.com/TheAtlasSociety"
"BAVNEC430841028","Atticus Circle","Bldg. 6, Ste. 450","2901 Via Fortuna","","","","Austin, TX 78746 USA","Austin","TX","78746","United States","512","(512)275-7880; (512)450-5188","","","equality@atticuscircle.org","http://www.atticuscircle.org; http://www.facebook.com/StandUpWithAtticusCircle; http://twitter.com/atticuscircle"
"MXIKFR892340292","Automotive Service Association (ASA)","8209 Mid Cities Blvd.","","","","","North Richland Hills, TX 76182-4712 USA","North Richland Hills","TX","76182-4712","United States","817","(817)514-2900","","(817)514-0770","asainfo@ASAshop.org","http://asashop.org; http://www.facebook.com/ASAshop; http://www.linkedin.com/company/automotive-service-association; http://www.twitter.com/asashop"
"UMGKSW977467983","Auto Suppliers Benchmarking Association (ASBA)","4606 FM 1960 Rd. W, Ste. 250","","","","","Houston, TX 77069-9949 USA","Houston","TX","77069-9949","United States","281","(281)440-5044","","(281)440-6677","","http://asbabenchmarking.com"
"SOGUTQ448659847","Bat Conservation International (BCI)","500 N Capital of Texas Hwy., Bldg. 1","","","","","Austin, TX 78716 USA","Austin","TX","78716","United States","512","(512)327-9721","800-538-2287","","","http://www.batcon.org; http://www.facebook.com/BatCon; http://www.linkedin.com/company/bat-conservation-international; http://twitter.com/BatConIntl"
"AYAGEQ508030852","Big Bend Natural History Association (BBNHA)","PO Box 129","","","","","Big Bend National Park, TX 79834-0129 USA","Big Bend National Park","TX","79834-0129","United States","432","(432)477-2251","","(432)477-1175","","http://www.bigbendbookstore.org; http://www.faceboo.com/BigBendNPS; http://twitter.com/BigBendNPS"
"PLAMCR749733301","Big Thicket Natural Heritage Trust (BTNHT)","PO Box 1049","","","","","Kountze, TX 77625 USA","Kountze","TX","77625","United States","","","","","","http://www.bigthicket.org/programs/natural-heritage-trust; http://www.facebook.com/BigThicketAssociation"
"WUBIYZ697722613","Bihar Association of North America (BANA)","3618 Battle Creek Dr.","","","","","Missouri City, TX 77459 USA","Missouri City","TX","77459","United States","281","(281)892-9187","","","","http://www.biharassociation.net"
"CSSXDA236800030","Bilateral US-Arab Chamber of Commerce (BUSACC)","PO Box 571870","","","","","Houston, TX 77257-1870 USA","Houston","TX","77257-1870","United States","713","(713)880-8168","","","info@bilateralchamber.org","http://bilateralchamber.org; http://www.facebook.com/bilateralusarabchamberofcommerce; http://www.linkedin.com/company/bilateral-u.s.-arab-chamber-of-commerce; http://twitter.com/bilateralusarab"
"OLTHVW652587453","Billiard and Bowling Institute of America (BBIA)","PO Box 6573","","","","","Arlington, TX 76005-6573 USA","Arlington","TX","76005-6573","United States","817","(817)649-5105","800-343-1329","(817)385-8268","bbia@billiardandbowling.org","http://billiardandbowling.org/about-bbia"
"ARNLRJ579322293","BISH Foundation","20770 US 281 N, No. 108-114","","","","","San Antonio, TX 78258 USA","San Antonio","TX","78258","United States","210","(210)287-9881","","","","http://www.bishfoundation.net"
"ZQTAVQ445100016","Bluefaced Leicester Union of North America (BLU)","PO Box 2304","","","","","Frisco, TX 75034 USA","Frisco","TX","75034","United States","610","(610)905-1136","","","info@bflsheep.com","http://www.bflsheep.com; http://bflsheep.com/wp/wp-content/uploads/2010/10/2016-BLU-Membership-Listing-Alphabetic.pdf; http://www.facebook.com/bflsheep"
"YWYSLK863450376","Bread for Life International (B4L)","PO Box 291307","","","","","Kerrville, TX 78029 USA","Kerrville","TX","78029","United States","830","(830)896-8326","","(830)866-5262","bread4life@gmail.com","http://www.breadforlife.org; http://www.facebook.com/groups/593800500663919"
"MRDUDO146635817","Breathe the Cure","","","","","","Houston, TX USA","Houston","TX","","United States","","","","","info@breathecure.org","http://www.breathecure.org; http://twitter.com/breathecure"
"YHOUGT104022970","The British Scholar Society","5102 Woodview Ave.","","","","","Austin, TX 78756-1905 USA","Austin","TX","78756-1905","United States","","","","","","http://britishscholar.org; http://www.facebook.com/The-British-Scholar-Society-166699463379093; http://twitter.com/britishscholar"
"TWKNHW949064843","Bromeliad Society International (BSI)","Annette Dominguez","8117 Shenandoah Dr.","","","","Austin, TX 78753-5734 USA","Austin","TX","78753-5734","United States","512","(512)619-2750","","","membership@bsi.org","http://www.bsi.org; http://www.facebook.com/Bromeliad-Society-International-BSI-468938213148940"
"BBHBMH953552815","Brothers and Sisters in Christ (BASIC)","PO Box 633","","","","","Grapevine, TX 76099 USA","Grapevine","TX","76099","United States","228","(228)255-9251","","","","http://sites.google.com/site/basicministriescom"
"PXBEXI605248570","Camino Global","8625 La Prada Dr.","","","","","Dallas, TX 75228 USA","Dallas","TX","75228","United States","214","(214)327-8206","800-366-2264","(214)327-8201","","http://www.caminoglobal.org; http://www.facebook.com/caminoglobal; http://twitter.com/CaminoGlobal/statuses/837320375021219841"
"EDTNRH411020403","Canary and Finch Society","c/o Helen Jones, Treasurer","348 Magnolia Dr.","","","","Huffman, TX 77336 USA","Huffman","TX","77336","United States","281","(281)259-7951","","","","http://canaryfinchsociety.tripod.com; http://www.facebook.com/groups/111964073454; http://twitter.com/canarytypes"
"KXZJCZ460069586","Casino Chip and Gaming Token Collectors Club (CC&GTCC)","PO Box 691085","","","","","Houston, TX 77269-1085 USA","Houston","TX","77269-1085","United States","","","","","","http://www.ccgtcc.com"
"LIABUG308349577","Caucus for a New Political Science (CNPS)","2112 W University Dr, Ste., 1251","","","","","Edinburg, TX 78539 USA","Edinburg","TX","78539","United States","956","(956)665-3679","","","cnpsconference@yahoo.com","http://www.cnpsconference.org; http://www.facebook.com/pages/New-Political-Science/176085179123442?ref=ts&sk=wall"
"GFPXHE932929385","CCNG International","2201 Long Prairie Rd., Ste. 107-365","","","","","Flower Mound, TX 75022 USA","Flower Mound","TX","75022","United States","","","855-599-2264","(972)539-9661","info@ccng.com","http://www.ccng.com; http://www.linkedin.com/groups?gid=132018; http://twitter.com/CCNGNetwork"
"LCXSAM260114529","Center for Exhibition Industry Research (CEIR)","12700 Park Central Dr., Ste. 308","","","","","Dallas, TX 75251 USA","Dallas","TX","75251","United States","972","(972)687-9242","","(972)692-6020","info@ceir.org","http://www.ceir.org; http://www.facebook.com/CEIRHQ; http://www.linkedin.com/groups/2196036/profile; http://www.twitter.com/ceir_hq"
"VONUUL563344746","Children's Hemiplegia and Stroke Association (CHASA)","4101 W Green Oaks Blvd., Ste. 305, No. 149","","","","","Arlington, TX 76016 USA","Arlington","TX","76016","United States","","","","","","http://chasa.org; http://www.facebook.com/Childrens-Hemiplegia-and-Stroke-Association-CHASA-153746130096; http://twitter.com/KidsHaveStrokes"
"FDOIBE317905089","Chinese School Association in the United States (CSAUS)","5925 Sovereign Dr., Ste. 115","","","","","Houston, TX 77036 USA","Houston","TX","77036","United States","","","","","csaus@csaus.net","http://www.csaus.org; http://www.facebook.com/CSAUS.connect"
"PFLATY583028071","Choristers Guild (CG)","12404 Park Central Dr., Ste. 100","","","","","Dallas, TX 75251-1802 USA","Dallas","TX","75251-1802","United States","469","(469)398-3606","800-246-7478","(469)398-3611","membership@mailcg.org","http://www.choristersguild.org; http://www.facebook.com/ChoristersGuild/?ref=tsg; http://www.twitter.com/ChoristersGuild"
"PECBFU492942950","Christian Alliance For Humanitarian Aid, Inc.","1525 Main St., L-3","","","","","Pearland, TX 77581 USA","Pearland","TX","77581","United States","281; 713; 409","(281)412-2285; (713)644-2010; (409)789-5400","","","fstokely@christian-alliance.org","http://www.christian-alliance.org"
"FQIBJZ562041721","Clan Young Society","5414 Tim Donald Rd.","","","","","Justin, TX 76247 USA","Justin","TX","76247","United States","","","","","","http://www.clanyoungsociety.com"
"TRHQWE631430570","Clean Technology and Sustainable Industries Organization (CTSI)","5540-A N Lamar","","","","","Austin, TX 78756 USA","Austin","TX","78756","United States","925; 512","(925)886-8461; (512)692-7267","","","community@ct-si.org","http://www.ct-si.org"
"MTHMXJ028973143","Coalition for Justice in the Maquiladoras (CJM)","3611 Golden Tee Ln.","","","","","Missouri City, TX 77459 USA","Missouri City","TX","77459","United States","210","(210)732-8957; (210)210-1084; (210)420-0724","","","","http://coalitionforjusticecjm.blogspot.com"
"DMYIVM745695195","Committee on Accreditation for Respiratory Care (COARC)","1248 Harwood Rd.","","","","","Bedford, TX 76021-4244 USA","Bedford","TX","76021-4244","United States","817","(817)283-2835","","(817)354-8519","","http://www.coarc.com"
"CUIDZQ591758664","Computer Assisted Language Instruction Consortium (CALICO)","Texas State University","214 Centennial Hall","","","","San Marcos, TX 78666 USA","San Marcos","TX","78666","United States","512","(512)245-1417","","(512)245-9089","info@calico.org","http://calico.org"
"SNONET202670670","Cooling Technology Institute (CTI)","3845 Cypress Creek Pky., Ste. 420","","","","","Houston, TX 77068 USA","Houston","TX","77068","United States","281","(281)583-4087","","(281)537-1721","","http://www.cti.org; http://www.facebook.com/Cooling-Technology-Institute-128354293096; http://www.linkedin.com/groups/3310012/profile; http://twitter.com/CoolingTechInst"
